points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
97,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,PHI,1980-81,41,24,0,Philadelphia Flyers,.606,Lost NHL Quarter-Finals,15,80,2nd
116,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,PHI,1979-80,48,12,0,Philadelphia Flyers,.725,Lost Stanley Cup Final,20,80,1st
95,"[{'link': '/coaches/mccambo99c.html', 'name': 'B. McCammon'}, {'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,PHI,1978-79,40,25,0,Philadelphia Flyers,.594,Lost NHL Quarter-Finals,15,80,2nd
105,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1977-78,45,20,0,Philadelphia Flyers,.656,Lost NHL Semi-Finals,15,80,2nd
112,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1976-77,48,16,0,Philadelphia Flyers,.700,Lost NHL Semi-Finals,16,80,1st
118,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1975-76,51,13,0,Philadelphia Flyers,.738,Lost Stanley Cup Final,16,80,1st
113,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1974-75,51,18,0,Philadelphia Flyers,.706,,11,80,1st
112,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1973-74,50,16,0,Philadelphia Flyers,.718,,12,78,1st
85,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1972-73,37,30,0,Philadelphia Flyers,.545,Lost NHL Semi-Finals,11,78,2nd
66,"[{'link': '/coaches/sherofr01c.html', 'name': 'F. Shero'}]",NHL,PHI,1971-72,26,38,0,Philadelphia Flyers,.423,,14,78,5th
73,"[{'link': '/coaches/stasivi01c.html', 'name': 'V. Stasiuk'}]",NHL,PHI,1970-71,28,33,0,Philadelphia Flyers,.468,Lost NHL Quarter-Finals,17,78,3rd
58,"[{'link': '/coaches/stasivi01c.html', 'name': 'V. Stasiuk'}]",NHL,PHI,1969-70,17,35,0,Philadelphia Flyers,.382,,24,76,5th
61,"[{'link': '/coaches/allenke01c.html', 'name': 'K. Allen'}]",NHL,PHI,1968-69,20,35,0,Philadelphia Flyers,.401,Lost NHL Quarter-Finals,21,76,3rd
73,"[{'link': '/coaches/allenke01c.html', 'name': 'K. Allen'}]",NHL,PHI,1967-68,31,32,0,Philadelphia Flyers,.493,Lost NHL Quarter-Finals,11,74,1st
