season,points_percentage,coaches,playoff_result,code,ties,team_name,wins,games_played,loses,overtime_loses,points,leage,finishing_position
1962-63,.321,"[{'link': '/coaches/watsoph01c.html', 'name': 'P. Watson'}, {'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,17,Boston Bruins,14,70,39,0,45,NHL,6th
1961-62,.271,"[{'link': '/coaches/watsoph01c.html', 'name': 'P. Watson'}]",,BOS,8,Boston Bruins,15,70,47,0,38,NHL,6th
1960-61,.307,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,13,Boston Bruins,15,70,42,0,43,NHL,6th
1959-60,.457,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,8,Boston Bruins,28,70,34,0,64,NHL,5th
1958-59,.521,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",Lost NHL Semi-Finals,BOS,9,Boston Bruins,32,70,29,0,73,NHL,2nd
1957-58,.493,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",Lost Stanley Cup Final,BOS,15,Boston Bruins,27,70,28,0,69,NHL,4th
1956-57,.571,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",Lost Stanley Cup Final,BOS,12,Boston Bruins,34,70,24,0,80,NHL,3rd
1955-56,.421,"[{'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",,BOS,13,Boston Bruins,23,70,34,0,59,NHL,5th
1954-55,.479,"[{'link': '/coaches/patrily01c.html', 'name': 'L. Patrick'}, {'link': '/coaches/schmimi01c.html', 'name': 'M. Schmidt'}]",Lost NHL Semi-Finals,BOS,21,Boston Bruins,23,70,26,0,67,NHL,4th
1953-54,.529,"[{'link': '/coaches/patrily01c.html', 'name': 'L. Patrick'}]",Lost NHL Semi-Finals,BOS,10,Boston Bruins,32,70,28,0,74,NHL,4th
1952-53,.493,"[{'link': '/coaches/patrily01c.html', 'name': 'L. Patrick'}]",Lost Stanley Cup Final,BOS,13,Boston Bruins,28,70,29,0,69,NHL,3rd
1951-52,.471,"[{'link': '/coaches/patrily01c.html', 'name': 'L. Patrick'}]",Lost NHL Semi-Finals,BOS,16,Boston Bruins,25,70,29,0,66,NHL,4th
1950-51,.443,"[{'link': '/coaches/patrily01c.html', 'name': 'L. Patrick'}]",Lost NHL Semi-Finals,BOS,18,Boston Bruins,22,70,30,0,62,NHL,4th
1949-50,.429,"[{'link': '/coaches/bouchge01c.html', 'name': 'G. Boucher'}]",,BOS,16,Boston Bruins,22,70,32,0,60,NHL,5th
1948-49,.550,"[{'link': '/coaches/clappdi01c.html', 'name': 'D. Clapper'}]",Lost NHL Semi-Finals,BOS,8,Boston Bruins,29,60,23,0,66,NHL,2nd
1947-48,.492,"[{'link': '/coaches/clappdi01c.html', 'name': 'D. Clapper'}]",Lost NHL Semi-Finals,BOS,13,Boston Bruins,23,60,24,0,59,NHL,3rd
1946-47,.525,"[{'link': '/coaches/clappdi01c.html', 'name': 'D. Clapper'}]",Lost NHL Semi-Finals,BOS,11,Boston Bruins,26,60,23,0,63,NHL,3rd
1945-46,.560,"[{'link': '/coaches/clappdi01c.html', 'name': 'D. Clapper'}]",Lost Stanley Cup Final,BOS,8,Boston Bruins,24,50,18,0,56,NHL,2nd
1944-45,.360,"[{'link': '/coaches/rossar01c.html', 'name': 'A. Ross'}]",Lost NHL Semi-Finals,BOS,4,Boston Bruins,16,50,30,0,36,NHL,4th
