season,points_percentage,coaches,playoff_result,code,ties,team_name,wins,games_played,loses,overtime_loses,points,leage,finishing_position
1995-96,.476,"[{'link': '/coaches/simpste99c.html', 'name': 'T. Simpson'}]",Lost NHL Conference Quarter-Finals,WIN,6,Winnipeg Jets,36,82,40,0,78,NHL,5th
1994-95,.406,"[{'link': '/coaches/paddojo01c.html', 'name': 'J. Paddock'}, {'link': '/coaches/simpste99c.html', 'name': 'T. Simpson'}]",,WIN,7,Winnipeg Jets,16,48,25,0,39,NHL,6th
1993-94,.339,"[{'link': '/coaches/paddojo01c.html', 'name': 'J. Paddock'}]",,WIN,9,Winnipeg Jets,24,84,51,0,57,NHL,6th
1992-93,.518,"[{'link': '/coaches/paddojo01c.html', 'name': 'J. Paddock'}]",Lost NHL Division Semi-Finals,WIN,7,Winnipeg Jets,40,84,37,0,87,NHL,4th
1991-92,.506,"[{'link': '/coaches/paddojo01c.html', 'name': 'J. Paddock'}]",Lost NHL Division Semi-Finals,WIN,15,Winnipeg Jets,33,80,32,0,81,NHL,4th
1990-91,.394,"[{'link': '/coaches/murdobo01c.html', 'name': 'B. Murdoch'}]",,WIN,11,Winnipeg Jets,26,80,43,0,63,NHL,5th
1989-90,.531,"[{'link': '/coaches/murdobo01c.html', 'name': 'B. Murdoch'}]",Lost NHL Division Semi-Finals,WIN,11,Winnipeg Jets,37,80,32,0,85,NHL,3rd
1988-89,.400,"[{'link': '/coaches/malonda01c.html', 'name': 'D. Maloney'}, {'link': '/coaches/bowneri01c.html', 'name': 'R. Bowness'}]",,WIN,12,Winnipeg Jets,26,80,42,0,64,NHL,5th
1987-88,.481,"[{'link': '/coaches/malonda01c.html', 'name': 'D. Maloney'}]",Lost NHL Division Semi-Finals,WIN,11,Winnipeg Jets,33,80,36,0,77,NHL,3rd
1986-87,.550,"[{'link': '/coaches/malonda01c.html', 'name': 'D. Maloney'}]",Lost NHL Division Finals,WIN,8,Winnipeg Jets,40,80,32,0,88,NHL,3rd
1985-86,.369,"[{'link': '/coaches/longba01c.html', 'name': 'B. Long'}, {'link': '/coaches/fergujo01c.html', 'name': 'J. Ferguson'}]",Lost NHL Division Semi-Finals,WIN,7,Winnipeg Jets,26,80,47,0,59,NHL,3rd
1984-85,.600,"[{'link': '/coaches/longba01c.html', 'name': 'B. Long'}]",Lost NHL Division Finals,WIN,10,Winnipeg Jets,43,80,27,0,96,NHL,2nd
1983-84,.456,"[{'link': '/coaches/wattto99c.html', 'name': 'T. Watt'}, {'link': '/coaches/longba01c.html', 'name': 'B. Long'}]",Lost NHL Division Semi-Finals,WIN,11,Winnipeg Jets,31,80,38,0,73,NHL,4th
1982-83,.463,"[{'link': '/coaches/wattto99c.html', 'name': 'T. Watt'}]",Lost NHL Division Semi-Finals,WIN,8,Winnipeg Jets,33,80,39,0,74,NHL,4th
1981-82,.500,"[{'link': '/coaches/wattto99c.html', 'name': 'T. Watt'}]",Lost NHL Division Semi-Finals,WIN,14,Winnipeg Jets,33,80,33,0,80,NHL,2nd
1980-81,.200,"[{'link': '/coaches/mcvieto99c.html', 'name': 'T. McVie'}, {'link': '/coaches/suthebi01c.html', 'name': 'B. Sutherland'}, {'link': '/coaches/smithmi99c.html', 'name': 'M. Smith'}]",,WIN,14,Winnipeg Jets,9,80,57,0,32,NHL,6th
1979-80,.319,"[{'link': '/coaches/mcvieto99c.html', 'name': 'T. McVie'}, {'link': '/coaches/suthebi01c.html', 'name': 'B. Sutherland'}]",,WIN,11,Winnipeg Jets,20,80,49,0,51,NHL,5th
